Country,Country__colour,id,EuSCAPE ID or sample name,Data source,Data source__colour,Carbapenem resistance,Carbapenem resistance__colour,Host,Host__colour,Sample type,Clinical importance,Clinical importance__colour,Epidemiological context,Epidemiological context__colour,ST,ST__colour,latitude,longitude,Location accuracy,Location accuracy__colour,day,month,year,Hospital code,Best matching K-type (capsular loci),Best matching K-type (capsular loci)__colour,Presence/absence of KPC-like in silico,Presence/absence of KPC-like in silico__colour,KPC-like variant,KPC-like variant__colour,Presence/absence of OXA-48-like in silico,Presence/absence of OXA-48-like in silico__colour,OXA-48-like variant,OXA-48-like variant__colour,Colistin resistance,Colistin resistance__colour
Israel,#07B7E8,SRR4198878,22,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198885,207,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198892,214,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,K,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198898,234,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198899,235,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198901,236,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198902,237,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198903,238,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198904,239,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198905,240,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198906,241,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198907,242,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2011,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198908,1909,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4187409,106,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4187411,1908,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198668,15,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198669,16,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198670,25,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198671,1912,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198672,1914,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198674,1917,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198675,1918,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198677,1920,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198678,1921,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198679,1922,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198680,1923,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198681,26,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198682,1924,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198684,1983,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,F,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198685,1992,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198686,1993,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198687,1995,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198688,1996,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198692,27,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2011,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198695,2001,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,L,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198696,2440,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198697,2442,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198698,2443,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198699,2444,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198700,2445,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198702,2447,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198703,2448,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198705,2449,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2013,M,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198711,180-1,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198713,189-1,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198714,193-1,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,I,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198719,126,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,E,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198722,129,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,E,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198724,131,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,E,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198725,206,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198726,39,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,K,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198727,208,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198728,210,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198729,211,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198730,213,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198731,215,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198732,217,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198733,220,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198734,221,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198735,222,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198736,223,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,J,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198739,58,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198740,59,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198741,60,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198742,61,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198743,63,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198744,71,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Israel,#07B7E8,SRR4198746,75,Adler et al. 2017,#3498DB,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,512,#1F8C7F,31.046051,34.851612,Country-level,#b30000,,,2008,C,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
